,0
"frozenset({'B', 'DIS'})",0.019993112947658404
"frozenset({'DIS', 'LSTAT', 'CRIM'})",0.04547752066115702
"frozenset({'TAX', 'DIS', 'LSTAT'})",0.056402699724517905
"frozenset({'DIS', 'INDUS', 'LSTAT'})",0.021978071625344344
"frozenset({'LSTAT', 'DIS', 'AGE'})",0.05038077134986226
"frozenset({'DIS', 'CHAS', 'LSTAT'})",0.01206231404958677
"frozenset({'DIS', 'NOX', 'LSTAT'})",0.0905230303030303
"frozenset({'RAD', 'DIS', 'LSTAT'})",0.021019283746556462
"frozenset({'DIS', 'LSTAT'})",0.012019063360881547
"frozenset({'TAX', 'DIS', 'CRIM'})",0.01073118457300276
"frozenset({'DIS', 'INDUS', 'CRIM'})",0.008677465564738297
"frozenset({'DIS', 'AGE', 'CRIM'})",0.023692506887052357
"frozenset({'DIS', 'CHAS', 'CRIM'})",0.01179239669421488
"frozenset({'DIS', 'NOX', 'CRIM'})",0.011676033057851249
"frozenset({'RAD', 'DIS', 'CRIM'})",0.004876363636363643
"frozenset({'DIS', 'CRIM'})",0.04285482093663914
"frozenset({'TAX', 'DIS', 'INDUS'})",0.010045068870523411
"frozenset({'TAX', 'DIS', 'AGE'})",0.010983746556473835
"frozenset({'TAX', 'DIS', 'CHAS'})",0.005696143250688701
"frozenset({'DIS', 'TAX', 'NOX'})",0.016352672176308546
"frozenset({'RAD', 'DIS', 'TAX'})",0.005757245179063362
"frozenset({'TAX', 'DIS'})",0.013843636363636365
"frozenset({'DIS', 'INDUS', 'AGE'})",0.011658567493112951
"frozenset({'DIS', 'INDUS', 'CHAS'})",0.006726887052341593
"frozenset({'DIS', 'NOX', 'INDUS'})",0.00650694214876033
"frozenset({'RAD', 'DIS', 'INDUS'})",0.0036598898071625316
"frozenset({'DIS', 'INDUS'})",0.014632066115702481
"frozenset({'DIS', 'CHAS', 'AGE'})",0.004579449035812672
"frozenset({'DIS', 'NOX', 'AGE'})",0.01728892561983471
"frozenset({'RAD', 'DIS', 'AGE'})",0.009854765840220391
"frozenset({'DIS', 'AGE'})",0.029074490358126724
"frozenset({'DIS', 'NOX', 'CHAS'})",0.011948209366391191
"frozenset({'RAD', 'DIS', 'CHAS'})",0.00643267217630854
"frozenset({'DIS', 'CHAS'})",0.01771741046831956
"frozenset({'RAD', 'DIS', 'NOX'})",0.018326831955922863
"frozenset({'DIS', 'NOX'})",0.025174325068870528
"frozenset({'RAD', 'DIS'})",0.008793443526170796
frozenset({'DIS'}),0.09434997245179054
"frozenset({'B', 'LSTAT', 'CRIM'})",0.02336820936639118
"frozenset({'TAX', 'LSTAT', 'B'})",0.019537355371900815
"frozenset({'B', 'INDUS', 'LSTAT'})",0.03166517906336088
"frozenset({'B', 'AGE', 'LSTAT'})",0.02345035812672176
"frozenset({'B', 'CHAS', 'LSTAT'})",0.02315041322314048
"frozenset({'B', 'NOX', 'LSTAT'})",0.03507961432506889
"frozenset({'RAD', 'LSTAT', 'B'})",0.021856308539944903
"frozenset({'B', 'LSTAT'})",0.09236561983471071
"frozenset({'TAX', 'CRIM', 'B'})",0.008727988980716252
"frozenset({'B', 'INDUS', 'CRIM'})",0.01601217630853995
"frozenset({'B', 'AGE', 'CRIM'})",0.0
"frozenset({'B', 'CHAS', 'CRIM'})",0.00848027548209367
"frozenset({'B', 'NOX', 'CRIM'})",0.019817245179063372
"frozenset({'RAD', 'CRIM', 'B'})",0.00545090909090909
"frozenset({'B', 'CRIM'})",0.015739228650137743
"frozenset({'TAX', 'INDUS', 'B'})",0.004530468319559234
"frozenset({'TAX', 'AGE', 'B'})",0.010661212121212132
"frozenset({'TAX', 'CHAS', 'B'})",0.004401763085399447
"frozenset({'TAX', 'NOX', 'B'})",0.011586170798898081
"frozenset({'RAD', 'TAX', 'B'})",0.0066679338842975345
"frozenset({'TAX', 'B'})",0.007408264462809924
"frozenset({'B', 'INDUS', 'AGE'})",0.0028625895316804414
"frozenset({'B', 'INDUS', 'CHAS'})",0.0
"frozenset({'B', 'NOX', 'INDUS'})",0.0
"frozenset({'RAD', 'INDUS', 'B'})",0.0014775206611570217
"frozenset({'B', 'INDUS'})",0.004724738292011021
"frozenset({'B', 'CHAS', 'AGE'})",0.01280325068870525
"frozenset({'B', 'NOX', 'AGE'})",0.009252066115702492
"frozenset({'RAD', 'AGE', 'B'})",0.00640319559228651
"frozenset({'B', 'AGE'})",0.008379393939393947
"frozenset({'B', 'NOX', 'CHAS'})",0.0032632506887052327
"frozenset({'RAD', 'CHAS', 'B'})",0.001302920110192836
"frozenset({'B', 'CHAS'})",0.004775426997245177
"frozenset({'RAD', 'NOX', 'B'})",0.016229807162534457
"frozenset({'B', 'NOX'})",0.023069476584022055
"frozenset({'RAD', 'B'})",0.0053689256198347175
frozenset({'B'}),0.022888429752066133
"frozenset({'TAX', 'LSTAT', 'CRIM'})",0.024502534435261715
"frozenset({'INDUS', 'LSTAT', 'CRIM'})",0.05607719008264462
"frozenset({'LSTAT', 'AGE', 'CRIM'})",0.061002809917355356
